brand_model,transmission,quantity_sold
"Nissan Altima",automatic,14747
"Ford F-150",automatic,10152
"Toyota Camry",automatic,10138
"Ford Fusion",automatic,9777
"Ford Escape",automatic,8850
"Honda Accord",automatic,7856
"Ford Focus",automatic,7715
"Chevrolet Impala",automatic,7066
"Dodge Grand Caravan",automatic,6450
"Infiniti G Sedan",automatic,6360
"Toyota Corolla",automatic,6197
"Honda Civic",automatic,6048
"Chevrolet Malibu",automatic,5879
"BMW 3 Series",automatic,5856
"Hyundai Sonata",automatic,5364
"Chevrolet Silverado 1500",automatic,5239
"Ford Explorer",automatic,5031
"Hyundai Elantra",automatic,4949
"Nissan Maxima",automatic,4936
"Chevrolet Cruze",automatic,4920
"Chrysler Town and Country",automatic,4786
"Ford Edge",automatic,4197
"Chevrolet Equinox",automatic,3966
"Nissan Rogue",automatic,3855
"Dodge Charger",automatic,3676
"Nissan Sentra",automatic,3573
"Dodge Avenger",automatic,3557
"Kia Optima",automatic,3515
"Mercedes-Benz C-Class",automatic,3496
"Chrysler 200",automatic,3483
"Jeep Grand Cherokee",automatic,3398
"Ford Taurus",automatic,3360
"Ford Mustang",automatic,3125
"Chrysler 300",automatic,3049
"BMW 5 Series",automatic,3017
"Volkswagen Jetta",automatic,2974
"Honda Odyssey",automatic,2800
"Toyota RAV4",automatic,2785
"Kia Sorento",automatic,2751
"Ram 1500",automatic,2609
"Chevrolet Tahoe",automatic,2555
"Mercedes-Benz E-Class",automatic,2550
"Honda CR-V",automatic,2509
"Dodge Journey",automatic,2486
"Volkswagen Passat",automatic,2326
"Toyota Sienna",automatic,2297
"Kia Forte",automatic,2282
"Nissan Murano",automatic,2203
"Kia Soul",automatic,2072
"Nissan Versa",automatic,2018
"Chevrolet Suburban",automatic,1994
"Jeep Liberty",automatic,1976
"Mazda Mazda3",automatic,1967
"Ford F-250 Super Duty",automatic,1934
"Jeep Wrangler",automatic,1916
"GMC Sierra 1500",automatic,1894
"Ford Expedition",automatic,1868
"Lexus RX 350",automatic,1838
"BMW X5",automatic,1727
"Ford Fiesta",automatic,1688
"Honda Pilot",automatic,1667
"Dodge Ram Pickup 1500",automatic,1659
"Toyota Prius",automatic,1655
"Chevrolet Traverse",automatic,1602
"Lexus IS 250",automatic,1595
"Hyundai Accent",automatic,1566
"Audi A4",automatic,1565
"Dodge Durango",automatic,1550
"Toyota Highlander",automatic,1548
"Lexus ES 350",automatic,1546
"Acura TL",automatic,1541
"GMC Acadia",automatic,1526
"Cadillac CTS",automatic,1507
"Chevrolet Sonic",automatic,1454
"Nissan Pathfinder",automatic,1453
"Pontiac G6",automatic,1451
"Jeep Patriot",automatic,1391
"Hyundai Santa Fe",automatic,1341
"Mercedes-Benz M-Class",automatic,1305
"Chevrolet Cobalt",automatic,1303
"Chevrolet Camaro",automatic,1296
"Infiniti G Coupe",automatic,1284
"Nissan Leaf",automatic,1239
"Kia Rio",automatic,1173
"Chevrolet Silverado 2500HD",automatic,1161
"Chrysler Sebring",automatic,1155
"Acura MDX",automatic,1144
"Mazda Mazda6",automatic,1136
"Lincoln MKZ",automatic,1129
"GMC Yukon",automatic,1112
"Subaru Outback",automatic,1097
"Dodge Caliber",automatic,1089
"Toyota 4Runner",automatic,1062
"Ford E-Series Van",automatic,1053
"Jeep Compass",automatic,1049
"Mercedes-Benz S-Class",automatic,1041
"Toyota Yaris",automatic,1031
"GMC Yukon XL",automatic,1030
"Chevrolet Impala Limited",automatic,1014
"Kia Sportage",automatic,1009
"Chrysler PT Cruiser",automatic,1008
"Toyota Tundra",automatic,1007
"Buick LaCrosse",automatic,990
"Chevrolet TrailBlazer",automatic,985
"BMW 7 Series",automatic,950
"Ford Ranger",automatic,942
"Chevrolet HHR",automatic,935
"GMC Terrain",automatic,933
"Chevrolet Avalanche",automatic,927
"Cadillac SRX",automatic,923
"Chevrolet Express Cargo",automatic,922
"Ford Flex",automatic,908
"MINI Cooper",automatic,906
"BMW X3",automatic,902
"Cadillac Escalade",automatic,894
"Ford F-350 Super Duty",automatic,892
"Jeep Wrangler",manual,883
"Subaru Legacy",automatic,876
"Toyota Tacoma",automatic,865
"Pontiac Grand Prix",automatic,863
"Volvo S60",automatic,861
"Toyota Avalon",automatic,856
"Chevrolet Captiva Sport",automatic,852
"Buick Enclave",automatic,850
"Dodge Challenger",automatic,829
"Infiniti G35",automatic,813
"Dodge Dart",automatic,791
"Nissan Frontier",automatic,788
"Kia Sedona",automatic,786
"Mitsubishi Lancer",automatic,780
"Lincoln MKX",automatic,769
"Mercedes-Benz GL-Class",automatic,755
"Ram 2500",automatic,742
"Ford E-Series Wagon",automatic,735
"Nissan Xterra",automatic,733
"Hyundai Genesis",automatic,717
"Ford Mustang",manual,714
"Acura TSX",automatic,713
"Subaru Forester",automatic,701
"Honda Civic",manual,701
"Hyundai Tucson",automatic,686
"Chevrolet Colorado",automatic,686
"Saturn VUE",automatic,673
"Nissan Armada",automatic,668
"Infiniti M",automatic,660
"Nissan Titan",automatic,654
"Lexus GS 350",automatic,648
"Chevrolet Aveo",automatic,635
"Mercedes-Benz GLK-Class",automatic,634
"Audi A6",automatic,607
"Mazda CX-9",automatic,594
"MINI Cooper",manual,585
"Lincoln Navigator",automatic,577
"Jeep Commander",automatic,573
"Lincoln MKS",automatic,558
"Nissan Quest",automatic,555
"GMC Envoy",automatic,547
"Volvo XC90",automatic,543
"Volkswagen New Beetle",automatic,541
"GMC Savana Cargo",automatic,533
"Land Rover Range Rover Sport",automatic,520
"Dodge Nitro",automatic,510
"Toyota Camry Hybrid",automatic,509
"Cadillac DeVille",automatic,509
"Subaru Impreza",automatic,501
"Mazda Mazda5",automatic,495
"Hyundai Sonata Hybrid",automatic,492
