seller,quantity_sold,seller_sales
"Nissan Infiniti Lt",22784,380279191
"Ford Motor Credit Company Llc",14759,259865825
"The Hertz Corporation",15640,215404988
"Avis Corporation",10861,175522280
"Financial Services Remarketing (Lease)",4123,116194350
"Santander Consumer",13496,107737090
"Enterprise Veh Exchange/Rental",5476,100269186
"Tdaf Remarketing",5533,87579625
"Lexus Financial Services",3384,87531050
"Mercedes-benz Financial Services",3139,82622300
"Ahfc/Honda Lease Trust/Hvt Inc. Eot",5438,75719475
"Chrysler Capital",5028,73182400
"Wells Fargo Dealer Services",7569,68335100
"Hyundai Motor Finance",5004,65432750
"Gm Remarketing",3573,64704296
"Jpmorgan Chase Bank N.a.",4842,60961475
"Kia Motors America Inc",3744,60223550
"Ge Fleet Services For Itself/Servicer",5268,59686550
"Toyota Financial Services",3742,54028900
"Ford Motor Credit Company Llc Pd",2980,51827650
"World Omni Financial Corporation",3445,49225500
"Gm Financial",4480,47179328
"Avis Budget Group",2466,47054350
"Ford Motor Credit Company",1939,40517200
"Ford-lincoln Dealer Program",1969,39663760
"Nissan North America Inc.",1669,38556760
"Dtg Operations Inc",3421,38250727
"Hertz Corporation/Gdp",2137,36008250
"Lease Plan Usa",3098,35418575
"Ars/Avis Budget Group",1899,33576575
"Ahfc/Honda Lease Trust/Hvt Inc.",2287,33454350
"High Bid Trading Co Inc",1627,32011450
"Capital One Auto Finance",3483,30999130
U-haul,1534,29994601
"Automobiles Paille Inc",1643,29754784
"Fiserv/Usb Dealer Services Northstar Exchange",1459,28935550
"Wholesale Inc # 2",1403,28044100
"Wheels Exchange Llc",2372,27687350
"Subaru Of America",1252,27019250
"Toyota Motor Sales Usa Inc/Program",1641,26400900
"Nissan Motor Acceptance Corporation",1969,25992100
"Enterprise Vehicle Exchange / Tra / Rental / Tulsa",2312,25817400
"R Hollenshead Auto Sales Inc",1482,24941250
"Kia Motors Finance",1587,20966950
"Bmw North America Greer",499,20241450
"Pv Holding Inc/Gdp",989,18801350
Ars/Enterprise,784,18782900
"Kevins Marysville Auto Sales Inc",1078,18513350
"Hopper Motorplex Inc",885,18087150
"Dt Credit Corporation",4029,17596424
"Enterprise Holdings/Gdp",937,17454445
"Aaero Sweet Company",1300,17303250
"Music City Autoplex Llc",664,16469050
"Sullivan Auto Group Llc",978,15785000
"Vw Credit",1065,15667350
"Donlen Corporation",1118,15367250
"Exeter Finance Corp",1580,15351781
"Meridian Remarketing",1267,14672150
"Td Auto Finance",1048,14613950
"Infiniti Financial Services",594,12880800
"Unique Autos",679,12572600
"Mercedes-benz Finc Wholesale Advantage",428,12466550
"The Collection",406,12263000
"Larry Hudson Chevrolet Buick Gmc Inc",610,12258650
"Credit Acceptance Corp/Vrs/Southfield",3825,12076425
Ari,1283,11841700
"Gm Financial Leasing",774,11738950
"Porsche Financial Services",190,11668650
"Select Lane",683,11491600
"Avis Rac/San Leandro",764,11367950
"Adcock Brothers Inc",596,11081250
"Pm Standley Motorcars",661,10844200
"Volvo Na Rep/World Omni",404,10598400
"Ahfc/Honda Lease/Trust/Hvt Inc. Eot Acuras",547,10395900
"Enterprise Vehicle Exchange/Orange",598,10269950
"Young Motors Llc",566,10233750
"Stratford Hyundai",498,10198120
"Bmw Na Manheim New Jersey",238,10143600
"Pauley Motor Car Co Preowned Vehicles Llc",628,9887450
"Carworks Inc",645,9815800
"Midtown Motors",503,9711250
"Oriental Bank",1037,9130050
"Regional Acceptance Corporation / Greenville",1123,9128250
"Hyundai Motor America/Co Car",391,9078200
"Chrysler Group Llc",400,8923050
"Enterprise Vehicle Exchange/Davenport",495,8922050
