state,quantity_sold,state_sales
Florida,67076,948315886
California,59821,881966343
Texas,36338,483393756
Georgia,28308,362739049
Illinois,20312,314053194
Pennsylvania,22466,313843824
"New Jersey",21076,279892279
Ohio,18546,258069074
Tennessee,13209,219538361
Michigan,13651,207057647
Missouri,13835,201185522
Nevada,9994,163566983
"North Carolina",17048,146937725
Wisconsin,8399,116075731
Minnesota,7542,104509358
Washington,6759,96432984
Colorado,6051,94504875
Arizona,7323,89418670
Virginia,8810,73309548
Maryland,9211,70821500
"New York",4569,57615711
Nebraska,3607,47515100
Massachusetts,6017,40866250
Indiana,3728,40688000
"South Carolina",3510,37605175
"Puerto Rico",2375,23061300
Utah,1656,20665389
Louisiana,1619,18199393
Mississippi,1563,16970385
Hawaii,1117,13814750
Oregon,1015,12097425
"New Mexico",142,1008600
Oklahoma,52,386800
Alabama,21,163400
