brand_model,transmission,brand_model_sales,avg_price
"Ferrari 458 Italia",automatic,183000,183000.00
"Mercedes-Benz SLS AMG GT",automatic,156500,156500.00
"BMW i8",automatic,1089500,155642.86
"Rolls-Royce Ghost",automatic,2308300,153886.67
"Ferrari California",automatic,1478000,134363.64
"Mercedes-Benz SLS AMG",automatic,348050,116016.67
"Lamborghini Gallardo",automatic,334500,111500.00
"Bentley Continental GTC Speed",automatic,111000,111000.00
"Ferrari F430",automatic,212500,106250.00
"Bentley Continental Flying Spur Speed",automatic,211500,105750.00
"Audi RS 7",automatic,817800,102225.00
"Bentley Continental Supersports",automatic,101000,101000.00
"Aston Martin Rapide",automatic,197500,98750.00
"Audi R8",automatic,1561500,91852.94
"Audi R8",manual,910750,91075.00
"BMW M6 Gran Coupe",automatic,632050,90292.86
"Bentley Continental GTC",automatic,2596800,89544.83
"Land Rover Range Rover",manual,85000,85000.00
"Ferrari 360",manual,81000,81000.00
"Bentley Continental GT Speed",automatic,239250,79750.00
"Mercedes-Benz G-Class",automatic,3880500,79193.88
"Porsche 911",automatic,9262250,75302.85
"Maserati GranTurismo Convertible",automatic,741000,74100.00
"Jaguar F-TYPE",automatic,2515100,73973.53
"Nissan GT-R",automatic,3634200,72684.00
"BMW M4",manual,205050,68350.00
"Tesla Model S",automatic,1489250,67693.18
"BMW M4",automatic,267500,66875.00
"Audi S7",automatic,399850,66641.67
"Bentley Continental GT",automatic,2353850,65384.72
"Lexus RC F",automatic,255300,63825.00
"Porsche Macan",automatic,245000,61250.00
"Jeep Grand Cherokee SRT",automatic,61000,61000.00
"Bentley Continental Flying Spur",automatic,1558000,59923.08
"Maserati Ghibli",automatic,773000,59461.54
"Maserati GranTurismo",automatic,1306250,59375.00
"BMW X6 M",automatic,1038400,57688.89
"Audi RS 5",automatic,749750,57673.08
"BMW 6 Series Gran Coupe",automatic,4253203,55963.20
"Chevrolet Corvette Stingray",manual,1007150,55952.78
"Porsche Panamera",automatic,11690500,55405.21
"Chevrolet Corvette Stingray",automatic,2874050,55270.19
"Infiniti QX80",automatic,4627150,55085.12
"BMW M6",automatic,2134900,53372.50
"Porsche 911",manual,2710500,53147.06
"Lexus LX 570",automatic,4209300,52616.25
"Aston Martin DB9",automatic,307000,51166.67
"Aston Martin V8 Vantage",manual,253900,50780.00
"Aston Martin V8 Vantage",automatic,456600,50733.33
"BMW X4",automatic,101100,50550.00
"Cadillac CTS-V Wagon",manual,50500,50500.00
"Audi S8",automatic,767400,47962.50
"Audi SQ5",automatic,190300,47575.00
"Fisker Karma",automatic,418150,46461.11
"Lexus RC 350",automatic,230850,46170.00
"BMW X5 M",automatic,1099750,45822.92
"BMW M5",automatic,2837906,45772.68
"HUMMER H1",automatic,45750,45750.00
"Audi TT RS",manual,134400,44800.00
"Ford Shelby GT500",manual,3291550,44480.41
"BMW 4 Series Gran Coupe",automatic,397300,44144.44
"Jaguar XK",automatic,3264300,44112.16
"Audi A7",automatic,4210200,42527.27
"BMW 4 Series",automatic,8787400,42247.12
"Cadillac CTS-V Coupe",manual,209921,41984.20
"Porsche Cayman",automatic,1071950,41228.85
"BMW 4 Series",manual,328000,41000.00
"Lotus Exige",manual,40800,40800.00
"Land Rover Range Rover",automatic,11731055,40037.73
"Land Rover LR4",automatic,4437200,39974.77
"Infiniti QX",automatic,6392204,39951.28
"Cadillac ELR",automatic,119850,39950.00
"Jaguar XJ",automatic,6691051,39592.02
"BMW 2 Series",manual,434750,39522.73
"BMW M6",manual,195900,39180.00
"BMW X6",automatic,7494650,38832.38
"Kia K900",automatic,2044600,38577.36
"Dodge Viper",manual,384350,38435.00
"BMW 3 Series Gran Turismo",automatic,1843000,38395.83
"Lexus GX 460",automatic,6608440,37547.95
"BMW 2 Series",automatic,592350,37021.88
"Cadillac CTS-V Coupe",automatic,736000,36800.00
"Infiniti Q60 Convertible",automatic,1095350,36511.67
"Ford Shelby GT500",automatic,109200,36400.00
"Land Rover Range Rover Sport",automatic,18806600,36166.54
"Land Rover Range Rover Evoque",automatic,3608000,36080.00
"Chevrolet SS",automatic,390600,35509.09
"Audi TTS",automatic,211750,35291.67
"BMW 5 Series Gran Turismo",automatic,4285575,35127.66
"GMC Sierra 3500HD",automatic,1579350,35096.67
"Ram 3500",automatic,6694700,34868.23
"Infiniti QX60",automatic,5261450,34614.80
"BMW ActiveHybrid 7",automatic,379000,34454.55
"Infiniti QX70",automatic,1873300,34060.00
"Hyundai Equus",automatic,3644200,33742.59
"Chevrolet Black Diamond Avalanche",automatic,942350,33655.36
"Ram 2500",automatic,24912325,33574.56
"Audi S5",automatic,2527850,33261.18
"Lincoln MKC",automatic,496950,33130.00
"Infiniti Q60 Coupe",manual,98900,32966.67
"Audi allroad",automatic,1219150,32950.00
"Ram 2500",manual,493900,32926.67
"Lexus IS F",automatic,917950,32783.93
"Infiniti QX50",automatic,196400,32733.33
"Maserati GranSport",automatic,32500,32500.00
"BMW 6 Series",automatic,15567825,32365.54
"Infiniti Q70",automatic,741000,32217.39
"Mercedes-Benz GLA-Class",automatic,32000,32000.00
"Ram 3500",manual,510100,31881.25
"Maserati Quattroporte",automatic,1525500,31781.25
"Chevrolet Corvette",manual,5604900,31488.20
"Cadillac CTS-V",automatic,747300,31137.50
"Mercedes-Benz CLA-Class",automatic,3072400,31034.34
"Chevrolet Silverado 3500HD",automatic,4156650,31019.78
"Lexus RX 450h",automatic,4070500,30605.26
"Acura RLX",automatic,397000,30538.46
"Porsche Cayman",manual,1006850,30510.61
"Subaru WRX",manual,638950,30426.19
"Porsche Cayman S",automatic,121500,30375.00
"Cadillac XTS",automatic,3812951,30261.52
"Infiniti JX",automatic,8374001,30231.05
"Subaru Impreza WRX",automatic,120350,30087.50
"Lexus IS 350 C",automatic,446900,29793.33
"Lexus LS 460",automatic,13339000,29708.24
"Lexus ES 300h",automatic,1806100,29608.20
"Audi S5",manual,734800,29392.00
"Infiniti Q50",automatic,12935333,29331.82
"BMW M3",automatic,3430525,29320.73
"Mercedes-Benz SL-Class",automatic,9979550,29179.97
"Mercedes-Benz GL-Class",automatic,22009658,29151.86
"Infiniti Q60 Coupe",automatic,816100,29146.43
"Lexus GS 350",automatic,18863800,29110.80
"BMW X1",automatic,6574975,28586.85
"Porsche Cayenne",automatic,12034350,28450.00
"Subaru WRX",automatic,196100,28014.29
"Ford Transit Wagon",automatic,390000,27857.14
"Mercedes-Benz CLS-Class",automatic,8869190,27803.10
"Ford F-450 Super Duty",automatic,1583324,27777.61
"Porsche Cayenne",manual,55500,27750.00
"BMW ActiveHybrid X6",automatic,138400,27680.00
"BMW ActiveHybrid 5",automatic,55250,27625.00
"Audi S6",automatic,523100,27531.58
"Porsche Boxster",automatic,2544401,27359.15
"Audi A8",automatic,6221450,27287.06
"Infiniti FX",automatic,8120310,27249.36
"Audi Q5",automatic,10143500,26977.39
"Volvo V60",automatic,1909000,26887.32
"Cadillac Escalade Hybrid",automatic,832050,26840.32
"Nissan Murano CrossCabriolet",automatic,800000,26666.67
"Lexus RX 350",automatic,48885150,26596.93
"Chrysler Prowler",automatic,53000,26500.00
"Acura ZDX",automatic,713100,26411.11
"Audi Q7",automatic,8707750,26387.12
"BMW M3",manual,2004149,26370.38
"Lexus IS 250 C",automatic,2762150,26306.19
"Mercedes-Benz B-Class Electric Drive",automatic,52500,26250.00
"GMC Yukon XL",manual,26200,26200.00
"Acura TLX",automatic,26200,26200.00
"Infiniti G Convertible",automatic,6263800,26099.17
"Audi RS 4",manual,78200,26066.67
"Dodge Challenger",manual,4740300,25903.28
"Honda Accord Hybrid",automatic,206000,25750.00
"GMC Sierra 2500HD",automatic,9939400,25749.74
"Volkswagen Golf R",manual,514600,25730.00
"Infiniti G Convertible",manual,102900,25725.00
"Subaru Impreza WRX",manual,2364400,25700.00
"Toyota Avalon Hybrid",automatic,743050,25622.41
"Mercedes-Benz S-Class",automatic,26643402,25594.05
"Infiniti M",automatic,16680726,25273.83
"Infiniti G Coupe",manual,2196850,25251.15
"Mercedes-Benz Sprinter",automatic,1260151,25203.02
"Audi A5",automatic,5993900,25184.45
"Mercedes-Benz CL-Class",automatic,3169250,25152.78
"Mercedes-Benz GLK-Class",automatic,15912761,25098.99
"Chevrolet Corvette",automatic,6829052,25014.84
"Infiniti FX50",automatic,74100,24700.00
"Cadillac Escalade ESV",automatic,11732001,24543.94
"Lexus LS 600h L",automatic,97650,24412.50
"Acura MDX",manual,24400,24400.00
"BMW 6 Series",manual,219250,24361.11
"Volvo XC60",automatic,7522950,24346.12
"Ford F-450 Super Duty",manual,24300,24300.00
"Jaguar XF",automatic,7399900,23947.90
"Ford Transit Van",automatic,380650,23790.63
"Infiniti M56",automatic,166400,23771.43
"HUMMER H2 SUT",automatic,1299450,23626.36
"Mitsubishi Lancer Evolution",automatic,540500,23500.00
"Audi S4",automatic,2711200,23372.41
"Porsche Cayman S",manual,256500,23318.18
"Mitsubishi Lancer Evolution",manual,1973050,23212.35
"Infiniti G Sedan",manual,810750,23164.29
"Jeep Wrangler",automatic,44137667,23036.36
"Ram Promaster Cargo Van",automatic,1260350,22915.45
"Lincoln MKT",automatic,2542450,22904.95
"Ram 1500",automatic,59659586,22866.84
"Cadillac CTS Coupe",automatic,2474600,22702.75
"Nissan 370Z",manual,1520850,22699.25
"Ford F-350 Super Duty",automatic,20199583,22645.27
"BMW Z4",automatic,3701125,22567.84
"Infiniti EX",automatic,2500650,22528.38
"Toyota Land Cruiser",automatic,1756850,22523.72
"Lincoln MKX",automatic,17269060,22456.51
"Toyota Tacoma",automatic,19259826,22265.69
"Cadillac Escalade",automatic,19812003,22161.08
"Infiniti G Coupe",automatic,28449300,22156.78
"BMW X5",automatic,37993450,21999.68
"Infiniti M37",automatic,1532597,21894.24
"Mercedes-Benz M-Class",manual,21600,21600.00
"Audi S4",manual,734250,21595.59
"Cadillac ATS",manual,43000,21500.00
"GMC Savana",automatic,192800,21422.22
